explained_var,cum_explained_var,eigen_value,principal_components
0.33259303350500297,0.33259303350500297,239.32166678672937,1
0.13165803546875893,0.4642510689737619,94.73626119645034,2
0.09329519889960575,0.5575462678733676,67.13178044818316,3
0.07507550680282703,0.6326217746761946,54.021562729577546,4
0.0633866185809137,0.6960083932571083,45.61067034655958,5
0.05232190973953794,0.7483303029966463,37.648914399593615,6
0.04317861108693187,0.7915089140835782,31.069734281445935,7
0.036407979826984835,0.827916893910563,26.197838014549284,8
0.02972425163989288,0.8576411455504559,21.38847399021162,9
0.024329765186495926,0.8819709107369518,17.506800715578912,10
0.020953237498413855,0.9029241482353656,15.077176060644014,11
0.020212591673423944,0.9231367399087895,14.544234671381417,12
0.017042567234280978,0.9401793071430705,12.263202129793472,13
0.014839383976009004,0.9550186911190796,10.677872803891237,14
0.014109771286045875,0.9691284624051254,10.152870451224404,15
0.011855760725495153,0.9809842231306205,8.530967675266908,16
0.009934887371279434,0.9909191105019,7.148778132772457,17
0.00908088949809985,0.9999999999999998,6.534272794858981,18
7.297370264827519e-32,0.9999999999999998,5.250918206355542e-29,19
